groups,genotype,dss,pathobiont,ASF_356,ASF_360,ASF_361,ASF_457,ASF_492,ASF_500,ASF_502,ASF_519,id
rag_dss,rag,yes,no,928395502.2,14961.41,30625491263,1489608400,153687.87,1214897727,5768128503,5754177190,5
rag_dss,rag,yes,no,226943602.5,12931.44,1564104423,141247704.3,132835.5,211102312.6,1319449995,2008459435,6
rag_dss,rag,yes,no,1309640422,18230.5,47663332736,994608102.8,187268.88,426835341.6,7269031904,5042096796,7
rag_dss,rag,yes,no,1141499447,9373.94,30940179389,1828112836,96291.84,733481056.3,8496132809,8053385011,8
rag_dss,rag,yes,no,1020107507,10595.13,38724714118,1329819724,108836.23,361828407.3,7093569428,5864509456,9
rag_dss,rag,yes,no,1030784440,64792.02,1.27E+11,1089542056,117968.77,355671373.9,6325397863,6378475569,10
rag_dss,rag,yes,no,950107107.3,12906.85,1.07E+11,1228460727,132582.83,960132594.9,5770205879,7811389722,11
rag_hb,rag,no,yes,262084993.4,4354.42,27044262732,832968451.4,1309376267,182646831.7,1414011652,1155694506,1
rag_hb,rag,no,yes,1761456195,7955.13,62374437542,638476825.8,3606128278,393595727.6,6032304670,3080641171,2
rag_hb,rag,no,yes,1045186719,6542.27,61094063963,1300742633,1917095202,335917415.2,3117951095,2732365456,3
rag_hb,rag,no,yes,272467218.7,11828.8,30771152396,1500225526,886636271.6,380215454.5,1536136993,1503575157,4
rag_hb,rag,no,yes,489453723.6,33433.75,27516341042,1294964816,1122427263,594836478.1,2410133668,2135964910,5
rag_hb,rag,no,yes,479746828.4,6168.97,27168511664,761927320.2,1259097767,577105214,1664751196,2053874653,6
rag_hb,rag,no,yes,563580937.5,9961.25,22890744461,1391221694,1812815805,490864529.3,2346881832,1998992342,7
rag_hb,rag,no,yes,852248686.1,5049.56,72361219546,2332064109,2466371903,1050009427,3640544773,3077124107,8
rag_hb,rag,no,yes,1030607806,8284.5,42206439352,1657765306,2630784589,823484370.4,4767100491,3835533536,9
rag_hb,rag,no,yes,498815654.6,6090.01,48876355843,1081893002,1774352132,621894397.1,3094056454,2013706081,10
rag_hb,rag,no,yes,472672579.7,7122.84,38353423608,2324126834,1175584496,762506808.8,2028500081,2462763840,11
rag_hbdss,rag,yes,yes,65159824.86,11409.2,1396158763,246468741.1,1313820.58,68451403.15,690970208.1,2061122748,1
rag_hbdss,rag,yes,yes,2126393166,9314.73,7660882620,906756366,95683.57,445591144.4,9789891032,2004899900,2
rag_hbdss,rag,yes,yes,513155459.9,8499.87,21210703219,718228733,1030697.1,224681418,2486718035,6453107618,3
rag_hbdss,rag,yes,yes,1413906213,5721.38,27179990979,854333681.3,2839794.06,239984430.1,4609410290,6953660676,4
rag_hbdss,rag,yes,yes,1353678427,7923.25,42292062657,1785873526,77602792.57,1396759510,5731623940,2954535917,5
rag_hbdss,rag,yes,yes,1036478754,8828.87,19212537339,971209974.6,17885922.01,1229318993,4546340960,2180186426,6
rag_hbdss,rag,yes,yes,2602908343,7507.24,81334596436,3433810297,1823349.35,1125748051,6804237268,3933140701,7
rag_hbdss,rag,yes,yes,3088801441,5451.43,31387762705,748709875,569386.7,145564764.7,7275930419,2603122456,8
